Date,Close,High,Low,Open,Volume,EP,YP,XA,SQ,XC,XL,PO,CD,TP,CC,CP,AT,KK,AZ,YU,PD,BQ,NI,OD
2026-07-13,185.0,188.0,183.0,184.0,10500,0.0,-0.0011,-0.0001,0.0002,-0.0001,0.0006,0.0,0.0,0.0,-0.0004,0.0,0.0,0.0,-0.0,0.001,0.0,0.0,0.0,0.0
2026-07-14,182.0,185.0,181.0,185.0,16100,0.0002,0.0,0.0,0.0001,0.0001,0.0013,0.0002,0.0,0.0,-0.0021,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,182.0,182.0,182.0,182.0,1900,0.0,0.0,0.0,0.0001,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,184.0,184.0,180.0,184.0,5900,-0.0002,0.0,0.0,0.0009,0.0001,0.0,0.0,0.0,0.0,-0.0006,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,185.0,187.0,183.0,183.0,34800,0.0,-0.0019,0.0025,0.0001,0.0014,0.0001,-0.0002,0.0,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,185.0,187.0,184.0,185.0,5800,0.0,0.0001,-0.0002,0.0002,-500.0,-0.0003,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,184.0,185.0,183.0,185.0,37400,0.0,0.0001,0.0,-0.0014,0.0,0.0058,0.0,0.0,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,-0.0047,0.0,0.0,0.0003
2026-07-22,183.0,184.0,183.0,184.0,23400,0.0,0.0,0.0,0.0,0.0,0.0039,0.0002,0.0,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,-0.0039,0.0,0.0,0.0
2026-07-23,182.0,184.0,179.0,180.0,30800,0.0,0.0016,0.0002,0.0,-0.0,0.0002,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,-0.0022,0.0,0.0,0.0
2026-07-24,182.0,182.0,179.0,179.0,17600,-0.0,0.0,0.0015,0.0001,0.0,0.0003,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.002,0.0,0.0,0.0
